,firebase_id,rho,prolific_pid,session_id,sentence_set_id,total_time_taken,question_id,question_index,statement_id,statement_text,name,gender,uncertainty_expression,response,time_taken,exp_order_int,include_participant
0,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,18,1,preference_3,Jacquelyn believes it's very unlikely that her neighbor prefers the beach over the mountains.,Jacquelyn,female,very unlikely,80,28.531999999999996,0,True
1,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,25,2,preference_10,Isaac believes it's likely that his boss prefers working remotely over working in-person.,Isaac,male,likely,90,12.800999999999998,10,True
2,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,0,3,imperfect_knowledge_0,Gabriela believes it's unlikely that the restaurant near her apartment accepts reservations.,Gabriela,female,unlikely,0,20.265,2,True
3,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,19,4,preference_4,Nick believes it's highly unlikely that his coworker prefers reading books over watching movies.,Nick,male,highly unlikely,0,37.475,1,True
4,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,11,5,imperfect_knowledge_11,Gary believes it's somewhat likely that his flight will land around 6pm.,Gary,male,somewhat likely,80,8.361,8,True
5,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,7,6,imperfect_knowledge_7,Cheri believes it's highly likely that her friend can do a handstand.,Cheri,female,highly likely,90,16.547,13,True
6,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,15,7,preference_0,Laura believes it's unlikely that her cousin prefers spinach over broccoli.,Laura,female,unlikely,10,58.001000000000005,2,True
7,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,6,8,imperfect_knowledge_6,Nathan believes it's almost certain that he can fix a flat tire.,Nathan,male,almost certain,95,49.747,14,True
8,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,20,9,preference_5,Johnnie believes his cousin prefers summer over winter.,Johnnie,male,control,95,11.697,11,True
9,1kU8F49rsUPJTwO552cRIzkBfrt1,0.8872442622820285,5bae077b542eed0001384369,661c96e039b02af1c6909773,10__imperfect_knowledge__preference,892.493,10,10,imperfect_knowledge_10,Roxanne believes it's likely that the hiking trail is 10 miles long.,Roxanne,female,likely,95,4.888999999999999,10,True
