firebase_id,prolific_pid,session_id,sentence_set_id,total_time_taken,question_id,question_index,statement_id,statement_text,name,gender,uncertainty_expression,response,time_taken
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,10,1,future_10,Roxanne believes it's doubtful that her patient will survive another three months.,Roxanne,female,doubtful,10,14.293000000000001
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,21,2,possession_6,Catherine believes it's uncertain that her cousin owns a blue bicycle.,Catherine,female,uncertain,45,7.452
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,12,3,future_12,Bonnie believes it's highly unlikely that her landlord will increase her rent by the end of spring.,Bonnie,female,highly unlikely,5,14.465
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,15,4,possession_0,Laura believes it's highly likely that her boss owns a blue car.,Laura,female,highly likely,95,7.561
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,3,5,future_3,Mike believes it's likely that there will be vegetarian options at the barbecue.,Mike,male,likely,55,6.855
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,25,6,possession_10,Isaac believes it's doubtful that his cousin owns a high-quality camera.,Isaac,male,doubtful,40,9.352
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,24,7,possession_9,Bruce believes it's not likely that his friend has all the necessary gear for a camping trip.,Bruce,male,not likely,20,20.977
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,8,8,future_8,Camille believes it's unlikely that her country will be impacted by a hurricane next year.,Camille,female,unlikely,30,7.962
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,17,9,possession_2,Amanda believes it's probable that her cousin has a vegetable garden.,Amanda,female,probable,85,6.13
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,0,10,future_0,Gabriela believes it's highly likely that she will buy a new watch this Thanksgiving weekend.,Gabriela,female,highly likely,90,7.2090000000000005
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,14,11,future_14,Joey believes it's almost certain that the hotels nearby will be fully booked by mid January.,Joey,male,almost certain,95,6.963
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,13,12,future_13,Lance believes his coworkers will go on strike this year.,Lance,male,control,100,7.098
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,22,13,possession_7,Raul believes it's possible that his neighbors have two tickets to the concert in town next Friday.,Raul,male,possible,60,11.296
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,28,14,possession_13,Tara believes her friend has the right skills for the job.,Tara,female,control,100,5.958
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,20,15,possession_5,Johnnie believes it's somewhat unlikely that his friend owns a pressure cooker.,Johnnie,male,somewhat unlikely,35,7.192
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,7,16,future_7,Cheri believes it's possible that there will be pastries provided at the meeting next Monday.,Cheri,female,possible,55,8.369
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,18,17,possession_3,Jacquelyn believes it's likely that her classmate owns a guitar.,Jacquelyn,female,likely,70,5.647
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,26,18,possession_11,Violet believes it's very unlikely that her coworker has a quiet space to practice meditation.,Violet,female,very unlikely,5,6.392
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,27,19,possession_12,Brendan believes it's highly unlikely that his colleague has enough cash to invest in a local business.,Brendan,male,highly unlikely,90,6.164
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,5,20,future_5,David believes it's somewhat unlikely that investing in his friend's startup will yield positive returns.,David,male,somewhat unlikely,35,6.166
